date,close,high,low,open
2020-05-01 13:30:00+00:00,261.78,262.71,261.78,262.305
2020-05-01 13:40:00+00:00,261.78,261.78,261.78,261.78
2020-05-01 13:50:00+00:00,262.09,262.09,262.09,262.09
2020-05-01 14:00:00+00:00,262.3,262.62,261.75,262.3
2020-05-01 14:10:00+00:00,262.3,262.3,262.3,262.3
2020-05-01 14:20:00+00:00,261.64,261.64,261.37,261.37
2020-05-01 14:30:00+00:00,261.98,261.98,261.98,261.98
2020-05-01 14:40:00+00:00,261.98,261.98,261.98,261.98
2020-05-01 14:50:00+00:00,262.32,262.43,261.98,261.98
2020-05-01 15:00:00+00:00,261.51,262.32,261.5,262.32
2020-05-01 15:10:00+00:00,261.27,261.61,261.27,261.61
2020-05-01 15:20:00+00:00,261.005,261.285,261.005,261.255
2020-05-01 15:30:00+00:00,260.73,261.005,260.63,261.005
2020-05-01 15:40:00+00:00,260.005,260.73,260.005,260.73
2020-05-01 15:50:00+00:00,259.81,260.005,259.805,260.005
2020-05-01 16:00:00+00:00,259.38,259.81,259.3,259.81
2020-05-01 16:10:00+00:00,259.38,259.38,259.38,259.38
2020-05-01 16:20:00+00:00,259.38,259.38,259.38,259.38
2020-05-01 16:30:00+00:00,259.38,259.38,259.38,259.38
2020-05-01 16:40:00+00:00,259.39,259.39,259.38,259.38
2020-05-01 16:50:00+00:00,259.45,259.45,259.39,259.39
2020-05-01 17:00:00+00:00,259.67,259.78,259.45,259.45
2020-05-01 17:10:00+00:00,259.07,259.67,259.07,259.67
2020-05-01 17:20:00+00:00,259.245,259.245,258.86,259.07
2020-05-01 17:30:00+00:00,258.89,259.47,258.89,259.3
2020-05-01 17:40:00+00:00,258.93,259.09,258.89,258.89
2020-05-01 17:50:00+00:00,258.91,259.06,258.9,258.93
2020-05-01 18:00:00+00:00,258.98,259.04,258.98,259.04
2020-05-01 18:10:00+00:00,258.98,258.98,258.98,258.98
2020-05-01 18:20:00+00:00,258.98,258.98,258.98,258.98
2020-05-01 18:30:00+00:00,259.65,259.65,258.98,258.98
2020-05-01 18:40:00+00:00,259.52,259.65,259.52,259.65
2020-05-01 18:50:00+00:00,259.61,259.61,259.3,259.52
2020-05-01 19:00:00+00:00,259.61,259.61,259.61,259.61
2020-05-01 19:10:00+00:00,259.61,259.61,259.61,259.61
2020-05-01 19:20:00+00:00,259.61,259.61,259.61,259.61
2020-05-01 19:30:00+00:00,259.77,259.77,259.61,259.61
2020-05-01 19:40:00+00:00,259.86,259.86,259.86,259.86
2020-05-01 19:50:00+00:00,259.5,259.86,259.5,259.86
2020-05-01 20:00:00+00:00,259.5,259.5,259.5,259.5
2020-05-04 13:30:00+00:00,256.91,257.98,256.91,257.98
2020-05-04 13:40:00+00:00,256.83,256.91,256.8,256.91
2020-05-04 13:50:00+00:00,257.21,257.21,256.83,256.83
